iter	Passed	Remaining
402	11634	2800
403	11666	2772
404	11692	2742
405	11718	2713
406	11744	2683
407	11768	2653
408	11791	2623
409	11818	2594
410	11858	2567
411	11891	2540
412	11925	2512
413	11956	2483
414	11991	2456
415	12023	2427
416	12053	2399
417	12086	2371
418	12118	2342
419	12152	2314
420	12187	2286
421	12222	2259
422	12256	2231
423	12287	2202
424	12320	2174
425	12349	2145
426	12377	2116
427	12406	2087
428	12434	2057
429	12467	2029
430	12502	2001
431	12538	1973
432	12571	1945
433	12603	1916
434	12628	1887
435	12653	1857
436	12677	1827
437	12703	1798
438	12732	1769
439	12760	1740
440	12785	1710
441	12822	1682
442	12859	1654
443	12895	1626
444	12927	1597
445	12963	1569
446	12999	1541
447	13034	1512
448	13071	1484
449	13104	1456
450	13138	1427
451	13171	1398
452	13204	1369
453	13239	1341
454	13275	1312
455	13310	1284
456	13341	1255
457	13372	1226
458	13405	1197
459	13441	1168
460	13475	1139
461	13507	1111
462	13540	1082
463	13573	1053
464	13607	1024
465	13640	995
466	13672	966
467	13706	937
468	13740	908
469	13779	879
470	13817	850
471	13865	822
472	13914	794
473	13956	765
474	14004	737
475	14052	708
476	14105	680
477	14154	651
478	14198	622
479	14244	593
480	14292	564
481	14341	535
482	14395	506
483	14449	477
484	14496	448
485	14555	419
486	14610	390
487	14679	360
488	14726	331
489	14770	301
490	14810	271
491	14846	241
492	14882	211
493	14917	181
494	14952	151
495	14985	120
496	15015	90
497	15058	60
498	15098	30
499	15136	0
