iter	MultiClass
316	0.297701278
317	0.2972186851
318	0.2971633588
319	0.2968982618
320	0.2968684758
321	0.2968360114
322	0.296786362
323	0.2967259276
324	0.2966797134
325	0.2966503017
326	0.2966198878
327	0.2965377788
328	0.2964991022
329	0.2964164125
330	0.2963702097
331	0.2963034725
332	0.2960922289
333	0.2960499083
334	0.2959505255
335	0.2958942631
336	0.2958403556
337	0.2957936308
338	0.295716804
339	0.295666488
340	0.295641602
341	0.2956006323
342	0.2955646603
343	0.2955319891
344	0.295478127
345	0.2954529072
346	0.2954215965
347	0.2953696723
348	0.2953211411
349	0.2952589769
350	0.2952055841
351	0.2951710891
352	0.2951025225
353	0.2950797106
354	0.29502644
355	0.2949961185
356	0.2948942224
357	0.2948372077
358	0.2948025517
359	0.2947688147
360	0.2947450266
361	0.2947157343
362	0.2946676444
363	0.2946203607
364	0.2945808054
365	0.2945379257
366	0.2944941388
367	0.2944631319
368	0.2944088106
369	0.294299333
370	0.2939527584
371	0.2939169255
372	0.2938885668
373	0.2938190413
374	0.2937907405
375	0.2937189429
376	0.2936820239
377	0.29364359
378	0.2935876158
379	0.2935488727
380	0.2935146536
381	0.2934584832
382	0.2933595146
383	0.2931307796
384	0.2930301967
385	0.2929682376
386	0.2929330705
387	0.2929006351
388	0.2928586392
389	0.2928010883
390	0.2927732777
391	0.2927405587
392	0.2927051475
393	0.2926716223
394	0.292492298
395	0.2924639638
396	0.2922241041
397	0.2921398759
398	0.2920988742
399	0.2919833411
400	0.2919438469
401	0.2918478267
402	0.2917758219
403	0.2917419972
404	0.2916904057
405	0.2916647793
406	0.2916343339
407	0.2915705894
408	0.2915242731
409	0.2914694114
410	0.2912272818
411	0.2911908872
412	0.2911136016
413	0.2910693218
414	0.2910265407
415	0.2909712779
416	0.2909483391
417	0.2909081384
418	0.2906947084
419	0.2905006359
420	0.2904265285
421	0.2903954432
422	0.2903577527
423	0.2902540124
424	0.2902202051
425	0.2901930212
426	0.2901363502
427	0.2900963231
428	0.2900240784
429	0.2899876133
430	0.2899662945
431	0.2899183671
432	0.2898230366
433	0.2897865953
434	0.2895512242
435	0.2895008292
436	0.2894170447
437	0.2893309996
438	0.2893029496
439	0.2892302611
440	0.2892053266
441	0.2891611973
442	0.2890922293
443	0.2890602728
444	0.2890362026
445	0.2890020467
446	0.28896123
447	0.2889144438
448	0.2888817975
449	0.2888523968
450	0.2887051551
451	0.2886779698
452	0.2886079374
453	0.2884565194
454	0.2883105272
455	0.2882741638
456	0.2882427876
457	0.2882203608
458	0.2881781554
459	0.2880339885
460	0.2879874762
461	0.287962551
462	0.2879404725
463	0.2879150741
464	0.2878309139
465	0.2877724679
466	0.287719069
467	0.2876828959
468	0.2876397841
469	0.2874748391
470	0.2874411921
471	0.2874023552
472	0.2873633156
473	0.287313009
474	0.2872899526
475	0.2872619199
476	0.2872267989
477	0.2871983735
478	0.2871673207
479	0.2870968942
480	0.2870282026
481	0.2869965488
482	0.2869287866
483	0.2868807752
484	0.2868304179
485	0.2867947737
486	0.2867575854
487	0.2867332995
488	0.2866521417
489	0.2863627506
490	0.2863386245
491	0.2863123924
492	0.2862781652
493	0.2861972324
494	0.2861773357
495	0.2861378651
496	0.2860889556
497	0.2859708465
498	0.2858771324
499	0.285812899
